"batch_code","item_code","provincia","sector","fecha","proveedor","descripcion","categoria","monto","metodo_pago","notas_originales"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-22","N/A","Grava 1/2"" @ 3/4""","MATERIALES","17700.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-22","N/A","Transporte Arena lavada gruesa","SERVICIO","10000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-22","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-30","N/A","CEMENTO","MATERIALES","252000.0","CASH","UD"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-06-01","N/A","Arena lavada gruesa","MATERIALES","56640.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-06-01","N/A","Grava 1/2"" @ 3/4""","MATERIALES","17700.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-06-01","N/A","Transporte Arena lavada gruesa","SERVICIO","10000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-06-01","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-06-02","N/A","SUMINISTRO PIEDRAS RUBEN","SERVICIO","8000.0","CASH","VIAJES"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-06-02","N/A","NOMINA 30-05-2026","MANO DE OBRA","441668.36","CASH","PA"
